orden,ID_Casa,ID_Encuesta,DIR
99,3,,Calle Presbistero Martinez 595
100,4,1130,Calle Presbistero Martinez 1042
96,10,2078,Mateo Booz 1062
95,11,2079,Mateo Booz 1094
101,16,1072,Simon de Iriondo 525
51,20,1482,Calle Presbistero Martinez 1091
48,21,2211,Lehmann 1064
53,26,2212,Lehmann 1064
49,28,221,Calle Presbistero Martinez 1047
50,32,221,Av. Ignacio Crespo 674
52,41,1115,Calle Presbistero Martinez 1069
98,51,1150,Simon de Iriondo 416
1,60,877,J. R. Aldao 400
5,61,876,J. R. Aldao 450
97,74,829,Simon de Iriondo 406
89,75,836,Menchaca 1147
91,78,837,Menchaca 1157
93,82,816,J. R. Aldao 437
92,84,838,Menchaca 1193
3,91,845,J. R. Aldao 458
2,92,875,Cafferatta 441
9,96,1026,Menchaca 1335
8,97,1027,Menchaca 1355
7,98,1040,Belgrano 465
10,99,1056,Menchaca 1313
6,101,1054,Mateo Booz 1344
60,105,440,Mateo Booz 1472
61,108,430,Mateo Booz 1420
58,113,495,Mateo Booz 1438
17,117,1187,Pje.  San Jose 1421
14,120,1188,Pje.  San Jose 1448
15,121,1189,Pje.  San Jose 1453
12,122,1177,Pje.  San Jose 1471
62,123,1178,
67,125,1158,Belgrano 404
64,129,1168,Belgrano 412
398,131,2271,Pje.  San Jose 1454
404,132,1504,Pje.  san jose 1446
74,133,479,Martin Guemes 400
73,134,190,Menchaca 1555
76,137,1835,Estanislao Lopez
77,138,1831,
75,139,478,Martin Guemes 490
144,142,456,Buenos Aires 345
143,143,,Jose Hernandez 1687
201,145,4522,Estanislao Lopez 318
141,148,473,Jose Hernandez 1661
142,149,472,Jose Hernandez 1687
194,160,5,Lehmann 1648
154,166,424,Estanislao Lopez 612
156,167,402,Lehmann 1526
155,168,419,Lehmann 1566
190,170,358,Mateo Booz 1096
193,171,366,Calle Presbistero Martinez 1641
385,173,368,Estanislao Lopez 
399,175,379,Estanislao Lopez 714
401,176,381,Estanislao Lopez 704
386,177,385,Estanislao Lopez 
175,178,331,Buenos Aires 741
174,179,333,Buenos Aires 723
176,180,328,Buenos Aires 705
164,182,398,Lehmann 1635
173,184,334,Buenos Aires 715
177,186,332,Buenos Aires 731
166,187,322,Lehmann 1619
168,188,323,Lehmann 1667
380,190,305,Mitre 2345
379,191,340,Mitre 2315
111,195,283,Sta Fe 1654
376,198,264,Mitre 1700
117,200,294,Pje.  San Luis 1675
115,201,294,Alfonsina Storni 162
106,202,295,Estanislao Lopez 114
113,203,292,Sta Fe 1682
116,204,277,Mitre 1690
382,208,265,Mitre 1900
377,209,263,Mitre 1700
384,210,267,Mitre
108,212,2531,Alfonsina Storni 1527
119,213,7471,Estanislao Lopez 1089
118,215,7451,Alfonsina Storni 1571
120,216,7431,Alfonsina Storni 1531
362,218,735,J. D. y Clucellas 1540
365,219,739,J. D. y Clucellas 1568
366,220,733,J. D. y Clucellas 1526
191,226,1,Belgrano 1096
188,231,3,J. D. y Clucellas 1428
369,233,683,Martin Guemes 1083
364,234,685,Martin Guemes 1060
184,238,672,J. D. y Clucellas 1466
183,239,665,J. D. y Clucellas 1458
214,243,653,J. D. y Clucellas 1358
125,250,,Belgrano 1049
127,251,602,Belgrano 1065
217,253,,Alfonsina Storni 1381
126,256,629,Belgrano 1060
124,257,622,Belgrano 1029
129,260,599,Cafferatta 1045
372,265,572,Alfonsina Storni 1281
132,268,551,Cafferatta 1055
130,269,563,J. D. y Clucellas 1270
128,270,,J. D. y Clucellas 1240
207,273,553,J. R. Aldao 1068
131,276,542,J. D. y Clucellas 1256
367,277,534,Alfonsina Storni 1229
371,278,532,Alfonsina Storni 1293
137,286,501,Alfonsina Storni 1115
136,287,502,Alfonsina Storni 1135
133,288,504,Alfonsina Storni 1131
391,292,774,Pje. de Martino 1155
394,293,754,J. D. y Clucellas 1174
388,294,775,Pje. de Martino 1179
389,295,758,Pje. de Martino 1055
392,296,765,Pje. de Martino 1115
393,297,756,J. D. y Clucellas 1124
163,298,1250,J. D. y Clucellas 1124
160,301,1234,J. R. Aldao 1089
157,304,1220,Alfonsina Storni 1019
158,307,986,Alfonsina Storni 1031
159,308,990,Alfonsina Storni 1043
138,316,962,Av. Ignacio Crespo 1032
140,317,973,Av. Ignacio Crespo 1002
242,320,1675,Sta Fe 1556
243,326,1686,
169,353,2844,Lehmann 
186,502,2760,Cafferatta 750
185,504,2772,Lehmann 1329
368,510,2784,Belgrano 747
374,511,2783,Belgrano 725
375,512,2782,
123,513,2791,Sta Fe 1370
121,514,2794,Sta Fe 1390
122,515,2798,Sta Fe 1370
150,517,2836,Lehmann 1241
149,518,2834,Lehmann 1241
153,519,2811,J. R. Aldao 740
152,521,281,J. R. Aldao 700
147,526,2831,Cafferatta 756
145,527,2832,
199,538,284,Lehmann 1272
172,540,2841,Calle Presbistero Martinez
200,541,2905,Lehmann 1272
196,543,2862,J. R. Aldao 692
198,544,2913,J. R. Aldao 666
266,546,2897,Mitre 1174
170,550,2842,Calle Presbistero Martinez 1275
171,551,2843,Calle Presbistero Martinez 1285
215,553,2939,Calle Presbistero Martinez 1339
216,558,2938,Calle Presbistero Martinez 1337
281,567,1913,Sta Fe
324,571,1899,Belgrano y Sta Fe
325,574,1898,Belgrano 790
213,576,2946,Calle Presbistero Martinez
210,579,1766,Belgrano 609
209,580,1765,Belgrano 624
212,585,1739,Calle Presbistero Martinez 1445
208,588,2985,Belgrano 634
211,590,2993,Belgrano 674
272,592,1793,Lehmann 1923
271,594,1798,Sta Fe 1464
279,595,1778,Lehmann 1471
268,598,1779,Sta Fe 1492
354,601,1943,Sta Fe 1414
265,603,1929,Martin Guemes 717
357,607,1921,Sta Fe 1442
360,608,1924,Sta Fe 1414
278,611,1990,Belgrano 8086
275,614,2000,Sta Fe 1473
258,616,1955,Sta Fe 1435
63,618,1179,
273,619,1965,Martin Guemes 802
276,622,1972,Sta Fe 1415
263,630,2515,Mitre 1164
267,631,1872,Mitre 1184
255,634,1878,Sta Fe 1129
257,637,1855,Sta Fe 1101
256,638,1856,
260,640,1845,
403,646,2272,Pje.  San Jose 1472
251,647,1839,
254,648,1838,J. R. Aldao 861
347,654,2653,Sta Fe 1535
331,655,2527,
327,658,2646,J. R. Aldao 775
328,667,2523,Simon de Iriondo 747
329,668,2639,Lehmann 1145
