ID_Casa,DIR,dire,lat,lon
3,Calle presbitero Martinez 595,Calle presbitero Martinez 595,-31.4904586,-60.7261327
4,Calle presbitero Martinez 1042,Calle presbitero Martinez 1042,-31.4888735,-60.7321607
10,Mateo Booz 1062,Mateo Booz 1062,-31.4877722,-60.7320561
11,Mateo Booz 1094,Mateo Booz 1094,-31.4876798,-60.7324252
16,Simon de Iriondo 525,Simon de Iriondo 525,-31.4879477,-60.7325586
20,Calle presbitero Martinez 1091,Calle presbitero Martinez 1091,-31.4887715,-60.73274
21,Lehmann 1064,Lehmann 1064,-31.4898484,-60.7327658
26,Lehmann 1064,Lehmann 1064,-31.4898484,-60.7327658
28,Calle presbitero Martinez 1047,Calle presbitero Martinez 1047,-31.4888933,-60.7322181
32,Av. Ignacio Crespo 674,Av. Ignacio Crespo 674,-31.4897841,-60.7319325
41,Calle presbitero Martinez 1069,Calle presbitero Martinez 1069,-31.4888324,-60.732479
51,Simon de Iriondo 416,Simon de Iriondo 416,-31.4868168,-60.7322248
56,Lehmann 1356,Lehmann 1356,-31.4889746,-60.736288
60,J. R. Aldao 400,J. R. Aldao 400,-31.4863464,-60.7334015
61,J. R. Aldao 450,J. R. Aldao 450,-31.4868647,-60.7335708
74,Simon de Iriondo 406,Simon de Iriondo 406,-31.4867131,-60.7321915
75,Menchaca 1147,Menchaca 1147,-31.486517,-60.7327334
76,Menchaca 1157,Menchaca 1157,-31.4864866,-60.7328564
82,J. R. Aldao 437,J. R. Aldao 437,-31.4867281,-60.7334872
84,Menchaca 1193,Menchaca 1193,-31.486377,-60.7332991
91,J. R. Aldao 458,J. R. Aldao 458,-31.4869476,-60.7335979
92,Cafferatta 441,Cafferatta 441,-31.4864773,-60.7347098
96,Menchaca 1335,Menchaca 1335,-31.4859584,-60.7350124
97,Menchaca 1355,Menchaca 1355,-31.4858994,-60.7352504
98,Belgrano 465,Belgrano 465,-31.4864392,-60.7359879
99,Menchaca 1313,Menchaca 1313,-31.4860233,-60.7347506
101,Mateo Booz 1344,Mateo Booz 1344,-31.4869412,-60.7354602
105,Mateo Booz 1472,Mateo Booz 1472,-31.4865701,-60.7370166
108,Mateo Booz 1420,Mateo Booz 1420,-31.4867206,-60.7363781
113,Mateo Booz 1438,Mateo Booz 1438,-31.4866685,-60.7365991
117,Pje.  San Jose 1421,Pje.  San Jose 1421,-31.4862345,-60.7362175
120,Pje.  San Jose 1448,Pje.  San Jose 1448,-31.4861227,-60.736551
121,Pje.  San Jose 1453,Pje.  San Jose 1453,-31.486142,-60.7366101
122,Pje.  San Jose 1471,Pje.  San Jose 1471,-31.48609,-60.7368309
125,Belgrano 404,Belgrano 404,-31.4857997,-60.7358162
129,Belgrano 412,Belgrano 412,-31.4858843,-60.7358441
131,Pje.  San Jose 1454,Pje.  San Jose 1454,-31.4861054,-60.7366246
132,Pje.  san jose 1446,Pje.  san jose 1446,-31.4861285,-60.7365265
133,Martin guemes 400,Martin guemes 400,-31.4854508,-60.7370274
134,Menchaca 1555,Menchaca 1555,-31.485298,-60.7376775
137,Estanislao Lopez,Estanislao Lopez,-31.4905516,-60.7399977
139,Martin guemes 490,Martin guemes 490,-31.4864101,-60.7373403
142,Buenos Aires 345,Buenos Aires 345,-31.4890187,-60.7407997
143,Jose Hernandez 1687,Jose Hernandez 1687,-31.4839112,-60.7387468
145,Estanislao Lopez 318,Estanislao Lopez 318,-31.4843128,-60.7379608
148,Jose Hernandez 1661,Jose Hernandez 1661,-31.4839806,-60.7384833
149,Jose Hernandez 1687,Jose Hernandez 1687,-31.4839112,-60.7387468
160,Lehmann 1648,Lehmann 1648,-31.4881237,-60.7397508
166,Estanislao Lopez 612,Estanislao Lopez 612,-31.4873815,-60.7389756
167,Lehmann 1526,Lehmann 1526,-31.4884648,-60.7383527
168,Lehmann 1566,Lehmann 1566,-31.4883499,-60.7388431
170,Mateo Booz 1096,Mateo Booz 1096,-31.487674,-60.7324483
171,Calle presbitero Martinez 1641,Calle presbitero Martinez 1641,-31.487272,-60.7389062
173,Estanislao Lopez 730,Estanislao Lopez 730,-31.488593,-607415482
175,Estanislao Lopez 714,Estanislao Lopez 714,-31.4884245,-60.7393224
176,Estanislao Lopez 704,Estanislao Lopez 704,-31.488319,-60.7392879
177,Estanislao Lopez 722,Estanislao Lopez 722,-31.4885089,-60.73935
178,Buenos Aires 741,Buenos Aires 741,-31.4883974,-60.7405801
179,Buenos Aires 723,Buenos Aires 723,-31.4881585,-60.7405013
180,Buenos Aires 705,Buenos Aires 705,-31.4880021,-60.7403611
182,Lehmann 1635,Lehmann 1635,-31.4881919,-60.7396179
184,Buenos Aires 715,Buenos Aires 715,-31.4880523,-60.7404663
186,Buenos Aires 731,Buenos Aires 731,-31.4882647,-60.7405364
187,Lehmann 1619,Lehmann 1619,-31.4882348,-60.7394534
188,Lehmann 1667,Lehmann 1667,-31.488106,-60.7399468
190,Mitre 2345,Mitre 2345,-31.4905699,-60.7399902
191,Mitre 2315,Mitre 2315,-31.4905699,-60.7399902
195,Sta Fe 1654,Sta Fe 1654,-31.4891391,-60.7402522
198,Mitre 1700,Mitre 1700,-31.4900796,-60.7411299
200,Pje.  San Luis 1675,Pje.  San Luis 1675,-31.4885993,-60.7403394
201,Alfonsina Storni 162,Alfonsina Storni 162,-31.4924736,-60.7366824
202,Estanislao Lopez 114,Estanislao Lopez 114,-31.4905516,-60.7399977
203,Sta Fe 1682,Sta Fe 1682,-31.4890546,-60.7405896
204,Mitre 1690,Mitre 1690,-31.4901029,-60.7410335
208,Mitre 1900,Mitre 1900,-31.4900796,-60.7411299
209,Mitre 1700,Mitre 1700,-31.4900796,-60.7411299
210,Mitre,Mitre,-31.4906845,-60.738724
212,Alfonsina Storni 1527,Alfonsina Storni 1527,-31.4918161,-60.7394474
213,Estanislao Lopez 1089,Estanislao Lopez 1089,-31.4925254,-60.7406213
215,Alfonsina Storni 1571,Alfonsina Storni 1571,-31.4916883,-60.7399773
216,Alfonsina Storni 1531,Alfonsina Storni 1531,-31.4918045,-60.7394956
218,J. D. y Clucellas 1540,J. D. y Clucellas 1540,-31.492786,-60.7399512
219,J. D. y Clucellas 1568,J. D. y Clucellas 1568,-31.4927076,-60.7402941
220,J. D. y Clucellas 1526,J. D. y Clucellas 1526,-31.4928252,-60.7397798
226,Belgrano 1096,Belgrano 1096,-31.4931779,-60.7382425
231,J. D. y Clucellas 1428,J. D. y Clucellas 1428,-31.4931117,-60.7385829
233,Martin guemes 1083,Martin guemes 1083,-31.4927443,-60.7393786
234,Martin guemes 1060,Martin guemes 1060,-31.4925076,-60.7393407
238,J. D. y Clucellas 1466,J. D. y Clucellas 1466,-31.4929989,-60.7390463
239,J. D. y Clucellas 1458,J. D. y Clucellas 1458,-31.4930226,-60.7389488
243,J. D. y Clucellas 1358,J. D. y Clucellas 1358,-31.4933253,-60.7377358
250,Belgrano 1049,Belgrano 1049,-31.4926883,-60.7380474
251,Belgrano 1065,Belgrano 1065,-31.4928543,-60.7381003
253,Alfonsina Storni 1381,Alfonsina Storni 1381,-31.4922477,-60.7376765
256,Belgrano 1060,Belgrano 1060,-31.4928044,-60.7381233
257,Belgrano 1029,Belgrano 1029,-31.4924808,-60.7379812
260,Cafferatta 1045,Cafferatta 1045,-31.4929506,-60.7368216
265,Alfonsina Storni 1281,Alfonsina Storni 1281,-31.4925435,-60.7364604
268,Cafferatta 1055,Cafferatta 1055,-31.4930557,-60.7368565
269,J. D. y Clucellas 1270,J. D. y Clucellas 1270,-31.49359,-60.736678
270,J. D. y Clucellas 1240,J. D. y Clucellas 1240,-31.4936743,-60.7363171
273,J. R. Aldao 1068,J. R. Aldao 1068,-31.4934767,-60.7357395
276,J. D. y Clucellas 1256,J. D. y Clucellas 1256,-31.4936293,-60.7365096
277,Alfonsina Storni 1229,Alfonsina Storni 1229,-31.4926926,-60.7358389
278,Alfonsina Storni 1293,Alfonsina Storni 1293,-31.4925091,-60.7366038
