,ID_Casa,dire,lat,lon
0,133,Martín güemes 400,-31.4854508,-60.7370274
1,139,Martín güemes 490,-31.48641009999999,-60.7373403
2,233,Martín güemes 1083,-31.4927443,-60.73937859999999
3,234,Martín güemes 1060,-31.4925076,-60.7393407
4,603,Martín güemes 717,-31.4887437,-60.73806739999999
5,619,Martín güemes 802,-31.4896535,-60.73840129999999
6,770,Martín güemes 535,-31.4868727,-60.7374539
7,802,Martín güemes 638,-31.4879318,-60.7378411
8,804,Martín güemes 678,-31.4883395,-60.7379747
9,805,Martín güemes 650,-31.4880541,-60.7378812
10,823,Martín güemes 784,-31.4894616,-60.7383389
11,831,Martín güemes 702,-31.4885856,-60.73805520000001
12,838,Martín güemes 820,-31.489844,-60.7384645
13,847,Martín güemes 942,-31.4912746,-60.7389262
14,861,Martín güemes 900,-31.4908405,-60.73878549999999
15,876,Martín güemes 909,-31.4909317,-60.7387761
